ASC_Name,Provider_id,NPI,City,State,Zip_code,Year,ASC_1_Measure_Rate,ASC_1_Footnote,ASC_2_Measure_Rate,ASC_2_Footnote,ASC_3_Measure_Rate,ASC_3_Footnote,ASC_4_Measure_Rate,ASC_4_Footnote,ASC_5_Measure_Rate,ASC_5_Footnote,ASC_1_5_Encounter_Start_Date,ASC_1_5_Encounter_End_Date,ASC_6_SSChecklist,ASC_6_Footnote,ASC_7_Volume,ASC_7_Respiratory,ASC_7_Eye,ASC_7_Genitourinary,ASC_7_Musculoskeletal,ASC_7_Gastrointestinal,ASC_7_Nervous_System,ASC_7_skin,ASC_7_Footnote,ASC_6_7_Encounter_Start_Date,ASC_6_7_Encounter_End_Date,ASC_8_rate,ASC_8_Footnote,ASC_8_Encounter_Date,ASC_9_rate,ASC_9_Footnote,ASC_10_rate,ASC_10_Footnote,ASC_9_10_Encounter_Start_Date,ASC_9_10_Encounter_End_Date,ASC_11_rate,ASC_11_Footnote,ASC_11_Encounter_Start_Date,ASC_11_Encounter_End_Date,ASC_12_Total_Cases,ASC_12_Performance_Category,ASC_12_Interval_Lower_Limit,ASC_12_Interval_Upper_Limit,ASC_12_Footnote,ASC_12_Encounter_Start_Date,ASC_12_Encounter_End_Date,ASC_12_RSHV_Rate
GEORGIA UROLOGY PA,11C0001330,1629222815,CONYERS,GA,30012,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"1,063",0,0,"1,063",0,0,0,0,,1/1/2016,12/31/2016,N/A,1,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
PASADENA ADVANCED SURGERY INSTITUTE,05C0001525,1629231782,PASADENA,CA,91105,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,190,0,21,0,51,26,6,86,,1/1/2016,12/31/2016,79.76,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
NORTH STATE SURGERY CENTERS LP,05C0001493,1629249172,REDDING,CA,96001,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"1,309",0,0,4,591,457,216,41,,1/1/2016,12/31/2016,90.72,,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,190,No Different than the National Rate,9.1,18.3,,1/1/2016,12/31/2016,12.8
MONTVALE SURGICAL CENTER LLC,31C0001237,1629254768,MONTVALE,NJ,7645,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
BELMONT HARLEM SURGERY CENTER LLC,14C0001013,1629256961,CHICAGO,IL,60634,2016,0,,0,,0,,0,,901.23,,1/1/2016,12/31/2016,Yes,,"2,293",0,925,15,714,542,97,0,,1/1/2016,12/31/2016,79.41,,2016/2017,82.86,,68.82,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,38,No Different than the National Rate,9,18.2,,1/1/2016,12/31/2016,12.7
THE SURGERY CENTER OF THE VILLAGES LLC,10C0001514,1629262274,SUMMERFIELD,FL,34491,2016,0,,0,,0,,0.349,,250,1,1/1/2016,12/31/2016,Yes,,"22,289",0,"19,956",0,0,0,6,"2,327",,1/1/2016,12/31/2016,67.27,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
PREMIER ENDOSCOPY CENTER LLC,10C0001506,1629262811,NAPLES,FL,34110,2016,0.263,,0,,0.263,,0,,0,1,1/1/2016,12/31/2016,Yes,,"18,177",0,0,0,0,"18,177",0,0,,1/1/2016,12/31/2016,63.83,,2016/2017,95.83,,95.83,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,2220,No Different than the National Rate,7.8,13.1,,1/1/2016,12/31/2016,10.1
PREMIER OUTPATIENT SURGERY CENTER,05C0001516,1629313739,COLTON,CA,92324,2016,0,,0,,0,,0,,991.9,,1/1/2016,12/31/2016,Yes,,"1,950",129,2,0,614,0,"1,175",30,,1/1/2016,12/31/2016,71.79,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
DENVER WEST ENDOSCOPY CENTER LLC,06C0001030,1629320742,LAKEWOOD,CO,80401,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"4,167",0,0,0,0,"4,167",0,0,,1/1/2016,12/31/2016,100,,2016/2017,97.93,,26.2,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,252,No Different than the National Rate,9.2,17.8,,1/1/2016,12/31/2016,13
GREATER NORMAN SURGERY CENTER LLC,37C0001068,1629371687,NORMAN,OK,73072,2016,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,1/1/2016,12/31/2016,Yes,,867,0,0,0,867,0,0,0,,1/1/2016,12/31/2016,84,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
MARTEL EYE INSTITUTE LLC,05C0002023,1629376207,RANCHO CORDOVA,CA,95670,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,253,0,253,0,0,0,0,0,,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
ODESSA ENDOSCOPY CENTER LLC,45C0001335,1629386784,ODESSA,TX,79761,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"2,262",0,0,0,0,"2,262",0,0,,1/1/2016,12/31/2016,84,,2016/2017,94.88,,60.29,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,389,No Different than the National Rate,10.1,18.6,,1/1/2016,12/31/2016,13.7
INLAND VALLEY SURGICAL PARTNERS LLC,05C0001762,1629390265,POMONA,CA,91767,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"1,151",152,0,15,366,503,31,84,,1/1/2016,12/31/2016,77.14,,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,59,No Different than the National Rate,8.8,17.5,,1/1/2016,12/31/2016,12.3
PAIN CENTER OF WYOMING VALLEY LLC,39C0001318,1629409578,WILKES BARRE,PA,18702,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,30.77,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
IMPERIAL SURGERY CENTER LLC,45C0001572,1629419932,HOUSTON,TX,77065,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,968,1,0,7,115,0,824,21,,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
CLARKSVILLE SURGICENTER LLC,44C0001057,1629458427,CLARKSVILLE,TN,37043,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,927,0,3,62,618,0,243,1,,1/1/2016,12/31/2016,84.06,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
NORTHERN EC LLC,33C0001161,1629461934,GLENS FALLS,NY,12801,2016,3.012,,0,,0,,3.012,,400,1,1/1/2016,12/31/2016,Yes,,"3,963",0,0,0,0,"3,963",0,0,,1/1/2016,12/31/2016,N/A,5,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,208,No Different than the National Rate,8.7,17.3,,1/1/2016,12/31/2016,12.3
POLARIS SPINE AND NEUROSURGERY CENTER,11C0001444,1629462759,ATLANTA,GA,30328,2016,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,100,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
215 SURGERY CENTER LLC,29C0001106,1629492137,LAS VEGAS,NV,89148,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"1,943",0,0,0,"1,943",0,0,0,,1/1/2016,12/31/2016,100,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
ENDOSURG OUTPATIENT CENTER LLC,10C0001346,1639105455,LADY LAKE,FL,32159,2016,0.786,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"2,943",0,0,0,0,"2,943",0,0,,1/1/2016,12/31/2016,N/A,5,2016/2017,100,,98.54,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,702,No Different than the National Rate,9.3,17.1,,1/1/2016,12/31/2016,12.6
MISSOULA BONE AND JOINT SURGERY CENTER LLC,27C0001018,1639126303,MISSOULA,MT,59808,2016,0,,0,,0,,0,,996.79,,1/1/2016,12/31/2016,Yes,,"3,220",0,0,0,"2,891",0,309,20,,1/1/2016,12/31/2016,46,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
NORTH HILLS SURGICARE LP,45C0001252,1639132178,NORTH RICHLAND HILLS,TX,76180,2016,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,1/1/2016,12/31/2016,Yes,,62,9,21,0,29,3,0,0,,1/1/2016,12/31/2016,100,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
PUEBLO AMBULATORY SURGERY CENTER LLC,06C0001029,1639134505,PUEBLO,CO,81001,2016,0,,0,,0,,0.825,,862.39,,1/1/2016,12/31/2016,Yes,,"1,938",169,"1,133",6,445,1,168,16,,1/1/2016,12/31/2016,92.39,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
SURGERY CENTERS OF DES MOINES LTD,16C0001000,1639135346,DES MOINES,IA,50309,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"1,470",0,2,576,82,176,434,200,,1/1/2016,12/31/2016,83.05,,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,36,No Different than the National Rate,8.6,17.7,,1/1/2016,12/31/2016,12.4
GREENSBORO OPHTHALMOLOGY ASC LLC,34C0001014,1639142656,GREENSBORO,NC,27410,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"1,699",0,"1,699",0,0,0,0,0,,1/1/2016,12/31/2016,92.59,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
AMBULATORY SURGERY CENTER LLC,18C0001021,1639142706,PADUCAH,KY,42003,2016,0.254,,0.254,,0,,0,,994.68,,1/1/2016,12/31/2016,Yes,,"1,080",0,986,0,0,0,94,0,,1/1/2016,12/31/2016,75.34,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
CENTENNIAL ASC LLC,45C0001396,1639146541,FRISCO,TX,75035,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"2,382","1,125",4,0,9,585,615,44,,1/1/2016,12/31/2016,95.35,,2016/2017,42.11,,59.68,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,70,No Different than the National Rate,8.8,17.5,,1/1/2016,12/31/2016,12.6
COLD SPRINGS MEDICAL SURGICAL GROUP,05C0001194,1639149255,SANTA BARBARA,CA,93105,2016,0,,0,,0,,1.835,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"5,833",0,0,0,"4,199",1,966,667,,1/1/2016,12/31/2016,78.72,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
BIG SKY SURGERY CENTER LLC,27C0001013,1639158645,MISSOULA,MT,59804,2016,0,,0,,0,,0.763,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"1,885",444,4,110,886,29,403,9,,1/1/2016,12/31/2016,43.69,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
THE SURGERY CENTER AT SACRED HEART MEDICAL PARK DESTIN LLC,10C0001410,1639164916,DESTIN,FL,32541,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"1,500",0,69,0,543,0,870,18,,1/1/2016,12/31/2016,95.89,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
WESTFALL SURGERY CENTER LLP,33C0001000,1639172828,ROCHESTER,NY,14618,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"15,546",323,"8,373",0,357,"6,467",6,20,,1/1/2016,12/31/2016,95.57,,2016/2017,95.83,,96.88,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,197,No Different than the National Rate,8.8,17.4,,1/1/2016,12/31/2016,12.3
PAIN TREATMENT CENTER INC,18C0001023,1639174634,LEXINGTON,KY,40503,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"4,243",0,0,0,5,0,"4,238",0,,1/1/2016,12/31/2016,44.44,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
BERKS CENTER FOR DIGESTIVE HEALTH LP,39C0001114,1639176183,WYOMISSING,PA,19610,2016,0,,0.27,,0,,0.811,,N/A,5,1/1/2016,12/31/2016,Yes,,"20,844",0,0,0,0,"20,844",0,0,,1/1/2016,12/31/2016,64.71,,2016/2017,95.85,,70.94,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,2049,No Different than the National Rate,10,16.6,,1/1/2016,12/31/2016,13
COLEMAN CATARACT AND EYE LASER SURGERY CENTER INC,25C0001041,1639177751,GREENWOOD,MS,38930,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"3,510",0,"3,510",0,0,0,0,0,,1/1/2016,12/31/2016,75.76,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
CY FAIR SURGERY CENTER,45C0001160,1639195217,HOUSTON,TX,77065,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"4,112",0,0,0,271,"3,161",680,0,,1/1/2016,12/31/2016,32.81,,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,95,No Different than the National Rate,8.7,17.3,,1/1/2016,12/31/2016,12.1
VALLEY MEDICAL GROUP PC,22C0001044,1639203888,AMHERST,MA,1002,2016,2.183,,0,,0,,0,,0,1,1/1/2016,12/31/2016,Yes,,"2,985",0,0,0,0,"2,985",0,0,,1/1/2016,12/31/2016,100,,2016/2017,95.24,,92.06,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,313,No Different than the National Rate,8.8,17.3,,1/1/2016,12/31/2016,12.2
UNITED SURGERY CENTER,05C0001603,1639214778,MONTEBELLO,CA,90640,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,Number of Cases Too Small,N/A,N/A,1,1/1/2016,12/31/2016,N/A
BOSTON EYE SURGERY AND LASER CENTER TRUST,22C0001062,1639215502,WALTHAM,MA,2451,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"4,589",0,"4,589",0,0,0,0,0,,1/1/2016,12/31/2016,77.92,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
OAK SURGICAL INSTITUTE,14C0001101,1639224827,BRADLEY,IL,60915,2016,0,,0,,0,,0,,992.81,,1/1/2016,12/31/2016,Yes,,"3,033",0,0,0,"3,033",0,0,0,,1/1/2016,12/31/2016,63.27,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
MUSCULOSKELETAL AMBULATORY SURGERY CENTER INC,10C0001321,1639237092,BRADENTON,FL,34209,2016,0,1,0,1,0,1,0,1,N/A,5,1/1/2016,12/31/2016,Yes,,214,0,0,0,195,0,19,0,,1/1/2016,12/31/2016,58.82,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
RENAL INTERVENTION CENTER LLC,14C0001102,1639242506,MORTON,IL,61550,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,0,0,0,0,0,0,0,0,,1/1/2016,12/31/2016,89.47,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
POST STREET SURGERY LLC,05C0001561,1639252760,SAN FRANCISCO,CA,94115,2016,0,,0,,0,,0,,833.33,,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
SPECIALISTS ONE DAY SURGERY LLC,33C0001063,1639261365,SYRACUSE,NY,13205,2016,0.371,,0.371,,0,,0,,988.51,,1/1/2016,12/31/2016,Yes,,"18,180",0,0,0,"6,791",0,"11,384",5,,1/1/2016,12/31/2016,88,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
GARDEN CITY SURGERY CENTER,33C0001007,1639261407,GARDEN CITY,NY,11530,2016,0.28,,0,,0,,0.28,,"1,000.00",1,1/1/2016,12/31/2016,Yes,,"6,868",0,"6,868",0,0,0,0,0,,1/1/2016,12/31/2016,96.43,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
MEDICAL ARTS AMBULATORY SURGERY CENTER,05C0001137,1639267388,VISALIA,CA,93291,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,Number of Cases Too Small,N/A,N/A,1,1/1/2016,12/31/2016,N/A
ATLANTA ENDOSCOPY CENTER,11C0001077,1639282932,DECATUR,GA,30033,2016,5.376,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,95,No Different than the National Rate,8.8,17.3,,1/1/2016,12/31/2016,12.5
WHITE MARSH SURGERY CENTER,21C0001451,1639290026,NOTTINGHAM,MD,21236,2016,0,,0,,0,,3.339,,964.29,,1/1/2016,12/31/2016,Yes,,"1,990",49,10,78,255,"1,527",22,49,,1/1/2016,12/31/2016,100,,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,269,No Different than the National Rate,8.6,16.7,,1/1/2016,12/31/2016,12.1
MURFREESBORO MEDICAL CLINIC P A,44C0001034,1639299803,MURFREESBORO,TN,37129,2016,0,,0,,0,,1.035,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"7,312",507,"1,220",124,183,"5,069",74,135,,1/1/2016,12/31/2016,98.17,,2016/2017,83.96,,71.03,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,738,No Different than the National Rate,8.5,15.9,,1/1/2016,12/31/2016,11.7
THE NEUROSPINE CENTER LP,39C0001274,1639317399,LANCASTER,PA,17601,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,472,0,0,0,0,0,472,0,,1/1/2016,12/31/2016,75,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
THE KISSIMMEE FL ENDOSCOPY ASC LLC,10C0001358,1639352347,KISSIMMEE,FL,34741,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"6,086",0,0,0,0,"6,086",0,0,,1/1/2016,12/31/2016,93.1,,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,290,No Different than the National Rate,9.5,18.6,,1/1/2016,12/31/2016,13.3
SAVANNAH PAIN CENTER LLC,11C0001312,1639365240,SAVANNAH,GA,31405,2016,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A,1,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
HEALING ARTS SURGERY CENTER INC,05C0001817,1639375108,BAKERSFIELD,CA,93301,2016,0,,0,,0,,0,,0,,1/1/2016,12/31/2016,Yes,,4,0,0,0,0,4,0,0,,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,1,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,Number of Cases Too Small,N/A,N/A,1,1/1/2016,12/31/2016,N/A
CLI SURGERY CENTER,15C0001116,1639386659,KOKOMO,IN,46902,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"2,690",0,"2,690",0,0,0,0,0,,1/1/2016,12/31/2016,92,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
DESERT CLIFFS SURGERY CENTER LLC,03C0001233,1639431653,MESA,AZ,85202,2016,0,,0,,0,,0,,55.56,,1/1/2016,12/31/2016,Yes,,"3,596",0,0,0,0,0,0,"3,596",,1/1/2016,12/31/2016,97.37,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
CHILDREN'S AMBULATORY SURGERY CENTER OF NEW JERSEY LLC,31C0001302,1639452444,FAIR LAWN,NJ,7410,2016,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,1/1/2016,12/31/2016,Yes,,406,0,2,1,76,322,0,5,,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
PHYSICIAN SURGERY CENTER OF ALBUQUERQUE LLC,32C0001121,1639456973,ALBUQUERQUE,NM,87122,2016,0,,0,,0,,0,,888.89,,1/1/2016,12/31/2016,Yes,,"2,142",0,"2,054",0,88,0,0,0,,1/1/2016,12/31/2016,97.73,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,100,,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
LIVONIA OUTPATIENT SURGERY CENTER LLC,23C0001115,1639476377,LIVONIA,MI,48152,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"4,367",0,"4,367",0,0,0,0,0,,1/1/2016,12/31/2016,57.33,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
INTERVENTIONAL SPINE CENTER INC,05C0002050,1639498579,LAGUNA HILLS,CA,92653,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"7,200",0,0,0,0,0,"7,200",0,,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
INTERVENTIONAL SPINE CENTER INC,05C0002051,1639498579,LONG BEACH,CA,90806,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"7,200",0,0,0,0,0,"7,200",0,,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
GEORGIA UROLOGY PA,11C0001371,1639499627,MARIETTA,GA,30060,2016,1.418,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"2,163",0,0,"2,163",0,0,0,0,,1/1/2016,12/31/2016,25.93,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
